pH,tds,turbidity,bod,cod,temperature,heavy_metals,intended_reuse,recipe_class,alum_dose,polymer_dose,chlorine_dose,antiscalant_dose
5.61,923,78,385,548,24,1,Irrigation,recipe_3,46.77,1.45,3.88,4.04
6.29,446,114,357,597,32,0,Industrial,recipe_3,41.14,1.73,3.7,4.64
5.39,1307,153,348,780,25,1,Industrial,recipe_3,45.39,1.38,4.44,3.22
7.56,2858,30,311,149,28,0,Cooling,recipe_3,36.6,1.53,4.21,3.6
6.67,2059,140,207,787,17,0,Cooling,recipe_3,36.91,1.35,4.47,3.62
7.84,1368,198,218,65,37,0,Industrial,recipe_3,42.24,1.5,3.69,4.65
7.35,2262,82,267,427,31,0,Industrial,recipe_3,40.4,1.52,4.74,4.42
5.32,1776,180,178,662,19,0,Industrial,recipe_3,45.82,1.35,4.4,4.56
7.05,2140,28,221,244,36,0,Industrial,recipe_2,34.06,1.05,2.71,0.0
6.84,309,165,304,561,38,1,Irrigation,recipe_3,36.45,1.3,4.57,4.7
8.86,1618,104,71,382,27,0,Irrigation,recipe_3,43.11,1.6,4.48,4.56
8.5,262,50,114,252,31,0,Construction,recipe_2,32.33,1.06,2.74,0.0
7.04,662,62,266,92,36,1,Irrigation,recipe_3,38.21,1.71,3.28,3.51
7.16,524,90,204,704,31,1,Irrigation,recipe_3,43.85,1.68,3.36,4.13
5.82,564,114,256,61,26,1,Cooling,recipe_3,49.88,1.22,3.51,3.87
8.55,1730,139,23,242,27,1,Washing,recipe_3,44.5,1.55,3.34,4.49
8.06,1211,30,248,211,23,1,Cooling,recipe_3,38.29,1.7,4.51,4.4
8.94,2775,113,200,71,34,0,Washing,recipe_3,37.98,1.68,3.62,4.15
8.28,2035,47,302,469,34,1,Construction,recipe_3,44.76,1.39,4.31,3.24
8.74,1751,181,133,354,16,1,Construction,recipe_3,50.93,1.3,4.63,4.19
6.22,2759,182,16,95,28,0,Construction,recipe_3,41.32,1.57,4.17,3.48
5.98,508,69,219,187,33,0,Construction,recipe_2,35.78,1.07,3.2,0.0
5.06,640,174,334,583,26,1,Washing,recipe_3,36.38,1.54,3.45,4.19
5.21,388,57,347,471,15,0,Washing,recipe_3,39.79,1.37,3.56,4.4
5.49,2606,170,90,39,26,0,Washing,recipe_3,41.69,1.62,3.82,4.75
6.06,750,164,233,183,21,1,Construction,recipe_3,51.25,1.61,4.23,4.63
7.55,1314,75,113,157,24,0,Industrial,recipe_2,38.25,0.96,2.48,0.0
6.94,247,149,312,613,38,0,Construction,recipe_3,44.02,1.71,4.77,4.05
7.82,1196,183,329,387,19,1,Construction,recipe_3,40.42,1.21,4.34,3.66
7.35,436,164,256,184,18,0,Industrial,recipe_2,31.8,0.88,3.42,0.0
8.61,2394,27,173,516,34,1,Cooling,recipe_3,36.87,1.23,4.31,4.05
8.07,1563,59,126,603,29,1,Construction,recipe_3,41.21,1.3,4.18,3.95
6.24,2940,47,91,517,30,1,Industrial,recipe_3,42.51,1.52,4.16,4.59
8.66,2921,136,117,625,19,0,Irrigation,recipe_3,47.7,1.41,3.61,4.57
5.99,1419,99,135,44,21,1,Washing,recipe_3,47.98,1.2,3.35,3.23
6.74,2475,92,202,595,35,0,Industrial,recipe_3,48.95,1.31,3.53,3.82
8.27,1255,74,160,602,23,0,Cooling,recipe_3,38.34,1.38,3.9,4.32
8.09,2507,27,396,627,28,1,Cooling,recipe_3,37.52,1.63,4.49,3.78
6.53,1091,129,208,125,22,1,Cooling,recipe_3,45.11,1.77,4.1,3.53
7.27,2146,105,216,791,17,0,Industrial,recipe_3,38.62,1.79,4.62,4.58
5.35,546,63,250,182,35,0,Irrigation,recipe_4,10.78,0.23,2.05,3.43
5.49,2360,191,33,719,33,1,Cooling,recipe_3,53.72,1.52,4.14,4.71
6.2,2123,47,400,636,38,1,Industrial,recipe_3,39.86,1.36,3.98,3.7
7.13,729,138,310,544,27,1,Industrial,recipe_3,53.98,1.45,3.92,4.62
6.77,251,79,290,713,18,0,Washing,recipe_3,52.28,1.78,4.22,3.42
5.62,330,17,314,314,23,0,Cooling,recipe_2,29.08,1.17,3.5,0.0
5.32,2030,187,160,117,18,1,Washing,recipe_3,49.74,1.32,3.58,4.15
8.4,1990,43,77,41,34,1,Construction,recipe_3,53.54,1.44,3.94,4.73
7.9,2631,100,380,773,29,1,Construction,recipe_3,53.14,1.27,3.8,3.27
7.33,982,191,375,136,21,1,Irrigation,recipe_3,42.32,1.29,4.0,4.57
6.85,279,102,257,686,17,1,Construction,recipe_3,53.52,1.43,3.78,3.95
7.79,2347,107,161,66,31,1,Irrigation,recipe_3,47.11,1.27,4.15,4.05
6.5,1276,75,295,284,39,0,Washing,recipe_3,51.51,1.37,3.46,3.86
8.97,356,36,310,243,31,1,Cooling,recipe_3,44.18,1.78,3.96,4.61
8.0,1742,97,120,252,20,0,Washing,recipe_3,40.49,1.47,4.04,4.05
6.71,2752,35,365,766,30,1,Industrial,recipe_3,47.36,1.68,3.84,4.03
7.33,2251,164,267,700,40,1,Cooling,recipe_3,40.19,1.59,4.05,3.61
8.61,2500,83,208,374,22,0,Industrial,recipe_3,52.83,1.69,3.33,4.03
6.55,870,155,268,412,17,1,Construction,recipe_3,52.13,1.25,4.35,3.63
7.14,2472,27,197,378,21,1,Industrial,recipe_3,47.85,1.68,4.56,4.68
6.6,821,58,359,665,38,1,Industrial,recipe_3,44.34,1.72,4.63,3.55
5.19,1406,59,170,289,28,1,Industrial,recipe_3,49.18,1.77,3.9,4.02
6.7,539,121,187,243,33,0,Washing,recipe_4,9.58,0.24,1.87,3.36
7.34,934,63,282,46,28,1,Irrigation,recipe_3,48.56,1.78,4.76,3.76
8.56,451,130,203,605,23,0,Construction,recipe_3,39.64,1.31,4.57,4.48
7.16,2405,136,147,152,31,0,Industrial,recipe_3,37.94,1.69,3.27,3.87
6.12,923,5,182,484,17,0,Construction,recipe_4,11.05,0.23,2.24,2.72
5.16,433,140,243,729,32,1,Irrigation,recipe_3,42.59,1.39,4.73,3.97
7.45,774,94,294,351,35,0,Cooling,recipe_3,51.71,1.42,4.65,4.38
7.01,300,14,317,644,39,0,Washing,recipe_3,36.82,1.34,4.05,4.43
8.66,243,110,16,441,32,1,Washing,recipe_3,44.12,1.44,4.59,4.0
8.77,495,127,231,731,18,1,Industrial,recipe_3,49.1,1.47,4.39,3.96
7.25,2916,79,117,672,28,0,Cooling,recipe_3,46.48,1.53,4.12,3.29
8.28,1024,156,244,214,29,0,Industrial,recipe_3,52.79,1.44,3.95,3.77
6.03,2219,3,393,48,39,1,Cooling,recipe_3,42.61,1.24,3.75,4.55
7.47,1260,54,57,198,21,1,Washing,recipe_3,38.49,1.54,3.24,3.46
7.79,2054,96,363,365,17,0,Construction,recipe_3,49.87,1.37,3.98,4.65
8.46,505,111,262,477,39,0,Washing,recipe_3,36.99,1.58,3.71,4.02
6.11,894,13,226,99,16,0,Cooling,recipe_2,30.71,0.98,3.58,0.0
7.9,1180,141,78,182,31,0,Irrigation,recipe_2,33.35,1.02,3.46,0.0
6.49,2306,48,55,217,32,0,Construction,recipe_4,10.08,0.18,2.23,2.88
5.16,629,94,227,255,40,0,Construction,recipe_3,41.8,1.45,4.44,4.3
6.25,1506,19,396,503,39,0,Industrial,recipe_3,45.46,1.6,4.73,3.38
6.3,651,146,153,545,39,0,Irrigation,recipe_3,49.77,1.55,3.92,4.26
7.91,1045,104,378,95,29,1,Washing,recipe_3,43.59,1.36,4.15,4.25
8.83,2997,33,380,390,21,0,Industrial,recipe_3,45.51,1.25,4.04,3.44
5.34,1196,36,73,470,20,0,Cooling,recipe_2,29.56,0.86,2.83,0.0
5.2,2892,108,304,386,35,1,Cooling,recipe_3,50.52,1.28,3.64,3.72
6.8,2074,42,54,55,35,0,Cooling,recipe_2,28.76,0.85,2.77,0.0
7.11,2379,34,221,672,26,1,Cooling,recipe_3,37.6,1.29,4.4,4.15
6.53,2500,171,54,523,34,0,Washing,recipe_3,40.48,1.55,4.74,3.53
6.76,666,79,193,401,18,0,Cooling,recipe_2,41.75,0.89,2.61,0.0
7.21,430,161,162,558,39,1,Cooling,recipe_3,52.19,1.72,4.01,3.71
8.57,1294,128,301,701,18,0,Washing,recipe_3,42.68,1.63,4.5,4.43
8.05,305,92,231,367,24,1,Construction,recipe_3,41.37,1.67,3.51,4.0
8.0,1533,111,63,628,19,0,Construction,recipe_3,47.45,1.73,3.85,3.55
7.4,1050,178,15,289,23,0,Cooling,recipe_2,39.39,1.05,2.75,0.0
6.94,2606,124,151,745,31,1,Construction,recipe_3,36.6,1.65,4.58,4.31
7.01,737,118,23,356,23,0,Construction,recipe_4,10.11,0.17,1.83,2.93
6.72,1562,68,251,554,33,0,Irrigation,recipe_3,47.82,1.54,4.37,4.58
6.81,413,113,354,539,30,1,Irrigation,recipe_3,47.98,1.76,3.91,3.6
6.46,1497,77,274,129,25,1,Washing,recipe_3,52.56,1.72,4.79,3.74
7.04,1110,119,368,104,29,1,Industrial,recipe_3,48.19,1.32,4.12,3.45
6.49,2715,101,127,136,30,0,Construction,recipe_3,44.17,1.38,3.7,3.55
8.28,2517,72,315,104,39,0,Irrigation,recipe_3,51.22,1.45,4.62,3.72
5.58,477,41,320,369,27,1,Construction,recipe_3,50.52,1.34,3.96,4.45
5.07,1086,64,304,130,15,0,Cooling,recipe_3,51.21,1.7,3.35,4.79
8.35,227,77,144,370,39,0,Construction,recipe_4,8.39,0.2,1.92,2.68
6.94,1795,19,244,673,36,0,Construction,recipe_3,49.06,1.42,4.38,3.34
5.24,2634,58,111,320,36,0,Cooling,recipe_3,47.72,1.42,3.78,3.39
6.08,868,111,39,303,39,0,Construction,recipe_4,11.95,0.21,1.63,3.34
6.04,2632,71,248,413,27,1,Washing,recipe_3,50.15,1.34,3.58,4.34
7.07,1579,54,10,622,26,0,Cooling,recipe_2,37.74,0.89,2.99,0.0
7.95,2735,57,363,215,24,1,Washing,recipe_3,39.53,1.34,4.35,4.17
8.94,1314,172,222,110,39,1,Cooling,recipe_3,38.25,1.53,4.16,3.48
6.33,718,160,383,41,21,0,Washing,recipe_3,51.85,1.74,4.73,3.59
8.53,2000,115,188,597,23,1,Industrial,recipe_3,44.91,1.48,4.16,4.66
8.24,2306,188,80,542,27,1,Construction,recipe_3,41.76,1.4,3.68,3.56
7.47,2887,185,66,756,24,0,Cooling,recipe_3,50.9,1.33,4.05,3.36
6.53,2105,52,35,305,15,0,Washing,recipe_4,11.37,0.18,1.82,3.34
7.26,2649,178,206,567,30,1,Washing,recipe_3,37.08,1.7,4.23,4.28
6.8,1699,20,369,354,19,1,Irrigation,recipe_3,46.41,1.31,3.46,3.42
6.65,1814,61,257,480,21,0,Washing,recipe_3,40.34,1.73,4.7,4.23
5.63,888,125,57,770,36,0,Cooling,recipe_3,50.38,1.78,4.56,4.06
5.7,2533,197,275,594,40,1,Irrigation,recipe_3,52.5,1.63,4.51,4.45
6.57,517,113,389,330,15,0,Cooling,recipe_3,50.1,1.74,4.58,3.3
7.25,642,180,300,613,32,0,Washing,recipe_3,39.26,1.37,4.53,3.22
5.45,2981,129,297,421,39,0,Washing,recipe_3,46.08,1.25,4.38,4.21
8.56,1181,155,344,476,22,1,Construction,recipe_3,52.41,1.56,3.77,3.52
5.81,2472,34,377,542,21,0,Irrigation,recipe_3,53.71,1.49,3.5,3.32
6.64,628,96,140,800,39,1,Industrial,recipe_3,43.99,1.72,4.26,3.6
7.34,467,89,45,505,25,1,Industrial,recipe_3,49.86,1.76,4.05,4.25
5.81,2804,171,148,228,39,0,Washing,recipe_3,36.98,1.43,3.88,3.39
7.73,1733,53,293,396,33,0,Irrigation,recipe_3,47.48,1.26,4.49,3.9
8.71,2765,50,22,666,17,1,Industrial,recipe_3,37.31,1.27,4.24,3.9
5.5,493,124,241,351,25,1,Washing,recipe_3,45.9,1.47,4.53,3.37
8.83,2616,57,64,339,16,0,Industrial,recipe_3,40.71,1.62,3.8,3.24
7.96,681,182,390,590,20,1,Construction,recipe_3,48.5,1.56,4.42,4.5
7.86,447,189,256,734,22,0,Industrial,recipe_3,51.4,1.78,4.32,4.04
8.33,606,113,271,578,36,0,Industrial,recipe_3,45.93,1.22,3.62,4.42
7.02,1207,185,230,390,18,1,Washing,recipe_3,46.3,1.42,4.76,4.79
5.37,1315,55,247,461,17,0,Construction,recipe_3,42.32,1.38,4.65,4.27
5.55,910,149,247,205,37,1,Cooling,recipe_3,52.72,1.58,4.16,3.56
5.36,2993,113,33,134,17,1,Industrial,recipe_3,40.75,1.34,4.24,4.73
6.57,2374,72,320,318,35,0,Construction,recipe_3,47.33,1.59,4.68,4.48
8.39,2642,61,46,784,25,0,Washing,recipe_3,44.59,1.36,4.42,3.78
6.39,1211,127,203,274,39,1,Washing,recipe_3,51.75,1.54,4.03,3.92
6.56,1353,55,127,251,23,1,Irrigation,recipe_3,43.78,1.63,3.74,3.67
8.92,2344,106,11,781,22,1,Industrial,recipe_3,38.34,1.55,4.57,3.37
5.08,579,184,139,795,25,1,Construction,recipe_3,44.18,1.73,4.08,3.27
6.97,1976,7,27,279,22,0,Cooling,recipe_4,10.2,0.2,2.08,3.58
6.33,817,195,189,71,33,0,Cooling,recipe_4,10.5,0.2,1.89,2.88
5.53,344,83,64,334,18,0,Industrial,recipe_2,36.21,0.94,3.43,0.0
7.3,1769,59,385,320,34,0,Construction,recipe_3,45.88,1.41,3.41,4.36
5.59,2509,96,263,328,29,1,Cooling,recipe_3,46.26,1.51,4.23,4.19
5.06,1690,112,224,637,38,0,Irrigation,recipe_3,41.63,1.59,4.79,3.63
5.44,943,75,388,407,17,0,Cooling,recipe_3,49.23,1.35,4.54,3.24
5.85,2081,75,165,540,24,1,Washing,recipe_3,49.04,1.75,3.22,3.48
7.06,1508,24,305,32,33,1,Washing,recipe_3,38.26,1.63,3.6,4.35
6.12,1361,55,61,541,37,0,Irrigation,recipe_3,49.59,1.31,4.46,4.09
8.65,2973,189,36,785,23,0,Irrigation,recipe_3,52.37,1.24,3.32,4.37
6.85,594,50,227,456,37,0,Irrigation,recipe_4,9.55,0.17,2.3,3.07
7.94,581,170,275,602,19,0,Construction,recipe_3,51.96,1.55,4.06,3.88
7.33,1673,39,47,442,24,0,Washing,recipe_4,10.74,0.21,1.72,3.35
5.47,1331,115,285,713,38,0,Cooling,recipe_3,38.96,1.67,3.57,3.34
8.05,2812,124,189,589,21,1,Industrial,recipe_3,48.15,1.38,3.94,3.43
7.0,1019,69,102,467,32,1,Washing,recipe_3,49.03,1.7,3.52,4.53
8.45,1990,153,140,79,33,0,Cooling,recipe_3,41.8,1.61,3.77,4.18
6.21,439,65,223,748,18,0,Industrial,recipe_3,47.75,1.61,3.52,3.77
5.12,2779,126,22,612,22,0,Cooling,recipe_3,49.62,1.45,3.97,4.57
8.21,2299,144,394,166,15,0,Cooling,recipe_3,46.7,1.26,4.54,3.91
8.68,2254,47,280,262,39,0,Washing,recipe_3,45.0,1.49,3.32,4.04
7.2,1390,22,382,392,31,1,Cooling,recipe_3,49.61,1.26,4.29,3.6
7.94,938,172,329,690,15,0,Construction,recipe_3,38.98,1.68,3.3,3.9
8.68,986,52,378,77,22,0,Construction,recipe_3,36.78,1.57,3.33,4.54
5.42,1954,128,359,501,27,1,Construction,recipe_3,51.55,1.67,3.63,3.3
8.61,1185,83,194,486,29,0,Washing,recipe_3,37.75,1.61,3.78,3.2
7.59,1753,119,383,216,15,0,Cooling,recipe_3,36.71,1.52,4.64,3.38
8.83,2127,130,61,655,32,1,Cooling,recipe_3,51.52,1.63,3.99,3.74
5.41,1583,175,71,36,37,0,Washing,recipe_2,33.8,0.92,2.56,0.0
6.6,1915,57,311,619,37,1,Irrigation,recipe_3,48.17,1.47,4.72,3.35
5.37,1027,198,301,260,38,1,Irrigation,recipe_3,42.5,1.8,3.92,3.85
8.25,1140,192,240,105,26,1,Irrigation,recipe_3,49.43,1.62,4.3,3.54
5.01,1578,157,174,177,24,0,Cooling,recipe_3,44.39,1.45,4.23,3.92
8.98,598,179,90,160,22,1,Industrial,recipe_3,53.61,1.42,4.06,4.44
8.68,2655,150,48,315,28,0,Washing,recipe_3,53.66,1.73,4.59,3.81
8.85,615,11,283,454,17,1,Construction,recipe_3,38.75,1.36,3.61,4.0
7.35,949,45,157,315,21,0,Washing,recipe_2,35.6,1.07,3.22,0.0
5.59,1344,8,367,419,38,0,Irrigation,recipe_3,37.05,1.72,4.49,4.22
6.1,2510,143,45,759,36,1,Washing,recipe_3,39.31,1.27,4.15,4.44
8.27,554,93,20,603,22,0,Industrial,recipe_2,35.69,1.04,2.74,0.0
7.8,211,40,107,389,38,0,Washing,recipe_2,34.14,1.08,2.44,0.0
7.95,2067,100,272,536,35,0,Irrigation,recipe_3,42.57,1.78,4.28,3.78
5.31,2836,182,65,340,34,0,Industrial,recipe_3,38.11,1.32,4.5,4.23
5.45,975,171,21,768,25,1,Construction,recipe_3,47.18,1.32,4.16,3.85
5.12,977,187,326,179,35,1,Washing,recipe_3,51.29,1.45,4.05,4.75
7.52,2690,82,354,143,27,1,Cooling,recipe_3,46.71,1.75,4.77,4.66
5.68,2289,140,253,301,17,1,Irrigation,recipe_3,46.74,1.26,3.66,4.51
8.5,2614,161,393,594,22,0,Industrial,recipe_3,53.77,1.3,4.2,3.83
8.9,2667,29,86,555,25,1,Industrial,recipe_3,49.01,1.48,4.23,3.78
6.75,986,48,277,780,36,0,Industrial,recipe_3,52.37,1.56,4.65,4.78
8.59,934,26,288,444,23,0,Industrial,recipe_3,40.93,1.46,3.45,3.48
7.75,785,6,347,624,20,0,Industrial,recipe_3,49.5,1.73,4.4,3.75
8.86,2290,145,303,416,32,1,Construction,recipe_3,41.35,1.7,4.45,3.37
6.54,1438,134,31,320,38,1,Construction,recipe_3,41.35,1.59,4.59,4.11
8.89,427,138,100,247,38,1,Construction,recipe_3,41.94,1.33,4.47,3.88
8.23,1655,196,258,745,19,0,Washing,recipe_3,47.8,1.46,4.44,3.58
7.1,1015,172,226,708,19,1,Cooling,recipe_3,36.27,1.48,3.54,4.68
8.85,2285,87,115,457,29,0,Irrigation,recipe_3,49.07,1.62,3.86,3.41
8.61,1734,174,15,268,37,0,Construction,recipe_3,46.54,1.53,3.45,4.79
5.55,1155,96,262,329,36,0,Washing,recipe_3,40.28,1.48,4.59,3.75
6.17,2256,59,243,126,17,0,Irrigation,recipe_3,37.99,1.55,4.78,4.4
8.2,2012,124,92,714,19,1,Cooling,recipe_3,52.81,1.57,4.54,3.55
5.29,2444,44,101,284,17,0,Construction,recipe_3,36.52,1.33,4.25,4.48
6.4,2840,77,120,91,30,0,Washing,recipe_3,40.22,1.64,4.33,3.57
9.0,1387,175,131,124,36,0,Industrial,recipe_3,40.71,1.8,3.93,3.74
7.56,683,9,279,704,38,1,Construction,recipe_3,51.05,1.79,4.06,3.32
6.24,1969,76,323,493,38,1,Washing,recipe_3,52.54,1.63,3.81,4.22
8.96,2447,180,32,42,36,0,Irrigation,recipe_3,41.53,1.55,4.57,3.85
8.93,935,90,170,263,21,0,Washing,recipe_3,38.67,1.68,4.36,4.75
7.01,1492,51,315,272,36,1,Irrigation,recipe_3,40.61,1.73,4.25,4.41
5.15,2563,133,272,357,33,1,Cooling,recipe_3,48.85,1.25,4.64,4.07
7.97,2828,106,65,470,38,0,Industrial,recipe_3,42.71,1.28,3.93,3.89
8.55,1907,173,130,798,17,1,Washing,recipe_3,36.98,1.32,4.45,3.82
7.37,620,101,75,542,38,1,Industrial,recipe_3,38.59,1.69,4.34,4.58
7.14,2082,130,98,589,21,1,Industrial,recipe_3,44.72,1.75,3.31,3.98
6.88,2019,94,307,406,37,1,Construction,recipe_3,36.75,1.58,4.62,4.73
8.39,2600,2,304,316,28,0,Washing,recipe_3,38.86,1.39,3.52,4.0
8.88,1657,57,373,301,33,1,Cooling,recipe_3,38.42,1.73,3.91,4.69
7.83,2376,181,355,300,38,1,Cooling,recipe_3,42.34,1.39,4.59,3.91
8.27,1240,146,399,307,20,1,Industrial,recipe_3,40.3,1.27,4.58,3.26
8.96,611,165,17,129,22,1,Irrigation,recipe_3,52.19,1.5,3.22,4.63
7.34,1644,53,235,113,40,1,Construction,recipe_3,41.18,1.77,3.94,4.03
6.86,2871,23,93,550,28,1,Cooling,recipe_3,41.62,1.55,3.86,4.47
6.65,2447,60,147,65,40,0,Irrigation,recipe_4,11.18,0.18,2.38,3.35
5.01,438,160,200,260,22,1,Cooling,recipe_3,39.43,1.3,4.06,3.54
8.88,2461,98,173,400,24,1,Washing,recipe_3,50.54,1.41,3.63,4.59
6.76,1160,159,209,664,35,0,Industrial,recipe_3,43.01,1.49,3.61,3.54
6.0,1741,37,391,404,22,1,Irrigation,recipe_3,52.4,1.59,3.67,4.2
5.79,514,90,315,347,31,1,Irrigation,recipe_3,36.33,1.33,4.72,4.27
8.66,2743,46,306,57,40,1,Industrial,recipe_3,46.21,1.66,3.71,4.28
7.36,1711,177,57,452,36,1,Washing,recipe_3,45.35,1.55,3.85,3.72
6.62,1268,97,283,226,40,0,Irrigation,recipe_3,44.08,1.75,4.5,4.08
6.3,1679,53,397,219,15,0,Cooling,recipe_3,45.83,1.77,4.13,4.65
5.12,304,141,265,572,33,1,Construction,recipe_3,45.1,1.46,4.29,3.69
6.01,2492,147,154,96,33,1,Washing,recipe_3,38.11,1.51,4.42,4.05
7.95,1446,96,356,469,36,0,Washing,recipe_3,36.99,1.63,4.22,3.24
8.91,290,64,261,91,34,0,Irrigation,recipe_2,34.18,1.01,3.19,0.0
7.88,1997,117,31,647,36,1,Industrial,recipe_3,54.0,1.43,3.55,4.22
5.02,1241,175,257,55,24,0,Irrigation,recipe_3,38.06,1.5,3.65,4.12
6.54,2567,40,244,95,39,0,Irrigation,recipe_3,51.82,1.39,4.4,4.41
8.59,1493,174,181,103,16,0,Construction,recipe_3,43.37,1.32,4.21,3.72
6.98,1944,180,194,549,15,0,Construction,recipe_3,41.33,1.31,3.7,4.69
7.13,2659,34,300,187,37,1,Washing,recipe_3,41.99,1.29,4.72,3.81
8.99,2276,125,57,102,21,1,Cooling,recipe_3,38.94,1.55,3.47,4.75
5.99,1729,16,250,254,31,1,Cooling,recipe_3,39.04,1.69,4.11,4.24
7.41,1793,125,26,601,23,1,Cooling,recipe_3,44.54,1.79,4.51,3.98
7.2,2539,54,170,249,35,1,Cooling,recipe_3,48.39,1.54,4.08,4.57
7.74,2954,129,171,315,37,1,Cooling,recipe_3,43.26,1.23,4.44,4.56
5.05,203,154,231,536,40,1,Industrial,recipe_3,52.08,1.76,4.55,4.67
9.0,1253,30,370,357,19,1,Industrial,recipe_3,38.1,1.8,3.78,3.79
8.1,2928,12,198,244,33,0,Irrigation,recipe_3,47.51,1.51,3.83,3.52
5.06,1140,160,366,325,15,1,Construction,recipe_3,50.69,1.21,4.29,3.34
7.54,2648,129,286,295,32,1,Cooling,recipe_3,37.33,1.28,3.82,4.08
5.05,2032,38,248,402,19,1,Washing,recipe_3,36.69,1.5,4.62,3.34
8.19,2149,41,250,293,25,1,Construction,recipe_3,46.34,1.28,4.43,3.32
8.12,2155,46,398,706,34,0,Industrial,recipe_3,49.5,1.21,4.47,3.95
5.21,1936,73,352,489,28,0,Industrial,recipe_3,36.73,1.49,4.32,3.96
8.4,2168,117,377,597,34,1,Cooling,recipe_3,42.4,1.43,3.77,4.59
7.39,2232,104,30,125,31,0,Cooling,recipe_2,28.2,1.02,2.62,0.0
6.37,2905,60,74,454,27,1,Irrigation,recipe_3,52.22,1.32,4.39,3.51
8.23,800,176,344,771,16,0,Industrial,recipe_3,49.78,1.29,3.72,4.12
6.06,2106,28,379,147,30,1,Cooling,recipe_3,48.49,1.54,4.16,4.56
6.4,2136,168,130,662,36,1,Irrigation,recipe_3,53.13,1.65,4.08,3.6
8.69,2755,48,276,683,20,1,Cooling,recipe_3,38.26,1.49,3.88,3.75
7.36,2096,147,179,795,27,0,Construction,recipe_3,48.26,1.51,4.61,4.6
7.78,1013,134,389,126,25,1,Construction,recipe_3,51.13,1.63,4.06,4.07
6.84,1651,38,11,521,27,0,Irrigation,recipe_4,8.61,0.22,1.96,3.04
8.8,2528,147,297,393,39,0,Irrigation,recipe_3,46.97,1.25,3.48,3.84
7.01,1746,145,233,594,18,1,Construction,recipe_3,41.44,1.38,4.38,3.43
6.22,595,162,173,141,30,0,Washing,recipe_2,33.14,1.05,2.65,0.0
8.89,287,90,342,669,39,0,Cooling,recipe_3,51.54,1.29,4.04,3.26
7.51,2529,146,288,797,19,0,Cooling,recipe_3,50.01,1.61,4.17,4.47
8.39,2580,123,368,707,18,1,Irrigation,recipe_3,46.65,1.26,3.99,4.11
5.92,2274,114,44,331,33,0,Washing,recipe_3,53.6,1.39,3.6,3.53
5.65,1223,78,90,338,34,1,Construction,recipe_3,49.67,1.78,3.67,3.21
7.11,242,200,345,595,28,1,Industrial,recipe_3,38.5,1.54,3.68,4.1
5.94,1099,32,138,166,29,1,Cooling,recipe_3,46.9,1.39,3.68,4.66
5.47,547,127,242,41,28,1,Construction,recipe_3,39.21,1.34,3.55,4.03
7.49,2748,150,217,626,32,1,Irrigation,recipe_3,44.46,1.49,4.61,4.13
7.25,2122,42,212,565,29,1,Irrigation,recipe_3,46.03,1.63,3.3,4.65
5.68,1303,48,48,599,31,1,Construction,recipe_3,45.12,1.58,3.21,4.63
5.45,1652,158,126,208,23,1,Washing,recipe_3,38.3,1.61,4.08,3.3
8.38,434,181,94,703,29,0,Irrigation,recipe_3,38.9,1.54,4.38,3.97
8.48,2209,12,31,428,20,1,Irrigation,recipe_3,51.87,1.63,3.26,3.32
6.69,397,129,273,762,27,0,Irrigation,recipe_3,41.04,1.21,4.27,4.55
5.81,2127,75,148,679,21,0,Construction,recipe_3,50.25,1.6,4.12,4.01
8.82,867,188,195,34,15,1,Construction,recipe_3,37.93,1.22,4.19,3.63
7.44,1710,135,166,216,18,1,Irrigation,recipe_3,45.93,1.21,4.69,4.04
8.52,2012,92,54,560,24,1,Industrial,recipe_3,38.15,1.56,4.21,4.45
7.76,2981,66,87,52,19,0,Washing,recipe_2,38.46,0.97,2.47,0.0
7.01,671,98,39,173,29,0,Irrigation,recipe_1,19.43,0.54,1.65,0.0
5.02,641,70,168,232,16,0,Irrigation,recipe_4,10.78,0.18,2.21,3.16
8.59,2492,16,219,628,22,0,Irrigation,recipe_3,48.93,1.53,4.11,4.3
8.29,2140,73,269,542,31,0,Industrial,recipe_3,52.21,1.72,4.02,3.64
7.35,2777,183,325,43,38,1,Washing,recipe_3,39.87,1.52,3.67,4.39
5.89,2070,59,108,460,39,0,Construction,recipe_3,50.66,1.72,3.6,4.55
6.41,891,43,46,456,40,1,Washing,recipe_3,43.04,1.75,4.25,4.28
5.14,2706,91,316,576,27,1,Cooling,recipe_3,50.56,1.6,4.74,3.57
7.92,421,120,94,79,27,0,Washing,recipe_2,31.44,1.03,2.99,0.0
5.05,2800,43,264,419,29,0,Cooling,recipe_3,38.9,1.67,4.72,4.22
6.17,2762,104,98,73,39,1,Washing,recipe_3,38.58,1.41,3.65,3.39
6.93,2387,90,220,714,32,0,Cooling,recipe_3,52.0,1.75,4.0,3.42
5.72,297,95,395,620,27,0,Irrigation,recipe_3,42.14,1.42,4.51,4.0
6.86,2846,116,114,778,28,0,Washing,recipe_3,43.07,1.39,4.46,4.6
8.5,543,131,182,220,26,1,Cooling,recipe_3,52.07,1.5,4.36,3.89
7.73,2644,167,141,630,18,1,Construction,recipe_3,37.8,1.62,3.66,3.37
6.49,2029,35,273,776,33,1,Cooling,recipe_3,42.77,1.29,4.44,4.0
6.04,826,127,148,360,29,1,Irrigation,recipe_3,52.68,1.44,3.44,4.75
6.55,1004,170,233,444,34,0,Cooling,recipe_3,46.05,1.8,4.46,3.31
